sku_id	COGS TTL
NN-01	235,754818
NN-02	29,24805
NN-03	25,78665
NN-04	23,5994
NN-05	26,045868
NN-06	29,828068
NN-07	28,829206
BB-01	22,636669
BB-02	19,493848
BB-03	405,39356
PD-01	229,27769
PD-02	220,780372
PD-03	233,256618
PD-04	437,66226
PD-05	326,69763
PD-06	309,014073
PD-07	251,011071
PD-08	297,367906
SS-01	23,155167
SS-02	245,21868
SS-03	249,681852
SS-04	221,901504
SS-05	139,12608
FF-01	289,6947
FF-02	193,862875
FF-03	125,040062
FF-04	185,779623
FF-05	279,618842
FF-06	291,6622
