order_id	order_timestamp	sales_area_id	sku_id	items_qty	price_per_item
2780051	1579660526	14	FF-02	4	253,25
5412227	1580425074	12	PD-07	6	323,01
5069545	1579897565	11	PD-01	40	311,9
7116963	1580225559	19	BB-02	9	24,89
5508973	1579942386	15	PD-01	25	311,9
4426041	1578091236	5	BB-01	1	30,13
8585423	1579773116	7	NN-03	18	35,3
2156987	1578603604	4	FF-02	40	253,25
7512037	1578671346	17	FF-04	16	248,07
1583677	1579116248	5	FF-04	30	248,07
4852135	1578573972	20	PD-06	26	405,69
5951493	1580499189	17	PD-06	30	405,69
6466475	1579681158	15	SS-03	26	314,54
3538613	1579996236	1	NN-01	34	308,62
2286163	1579170012	16	FF-03	24	170,03
4205025	1578564076	8	BB-01	35	30,13
5456642	1578972250	2	FF-05	17	360,38
1652594	1578634526	19	FF-03	13	170,03
9130849	1578432717	17	FF-06	40	393,5
4801834	1580484856	14	PD-02	44	303,02
3992939	1579974072	10	PD-05	43	442,38
1703078	1580480464	11	PD-02	14	303,02
5829446	1578025070	12	PD-05	10	442,38
9881560	1578449517	2	SS-01	39	31,01
2929758	1578837434	3	SS-03	21	314,54
1742769	1578193454	11	FF-04	1	248,07
6741083	1578783268	12	PD-01	31	311,9
3839823	1578175154	3	FF-02	45	253,25
9301356	1579624757	5	PD-01	3	311,9
8351548	1579889799	15	PD-05	4	442,38
3861585	1580411751	2	NN-04	21	31,55
8395453	1579752427	1	NN-02	26	39,75
5359656	1577980334	4	BB-03	21	515,44
5298999	1578569737	4	FF-03	46	170,03
7422668	1579737013	5	PD-07	31	323,01
2976843	1578311174	9	SS-05	30	189,03
1841168	1578056831	19	PD-03	6	313,77
8806442	1578313508	6	FF-05	35	360,38
4518320	1579539645	17	SS-01	28	31,01
7670196	1580081995	18	SS-05	42	189,03
9936064	1578479434	15	FF-04	29	248,07
1437463	1580119665	12	FF-01	28	581,74
8696375	1578701513	4	FF-02	3	253,25
3957472	1579639994	1	PD-01	47	311,9
2165052	1579422119	8	BB-02	25	24,89
9215239	1578839202	20	FF-01	40	581,74
2582200	1578843993	19	PD-01	28	311,9
8453363	1579896943	8	FF-02	21	253,25
1751943	1579247936	2	PD-02	30	303,02
2455563	1578820682	8	PD-05	6	442,38
2729458	1580391991	4	PD-02	22	303,02
2497425	1578463017	2	NN-05	7	35,48
4230947	1579407738	6	PD-08	16	382,91
4095578	1580123678	4	FF-06	10	393,5
5396762	1579519875	3	PD-08	3	382,91
