order_id	oder_unix_timestamp	sales_territory	sku_id	items_qty	price_per_item
17589145	1611429109	3	5	14	37,64
99664901	1610637678	9	8	44	30,44
63666763	1611168812	3	16	13	426,14
17228105	1611726940	15	26	30	182,14
34354771	1611462613	6	9	31	25,39
26697956	1611795144	17	18	18	394,4
34079097	1610915018	14	1	24	317,94
17827854	1610180311	13	28	43	385,96
58952634	1610276591	14	3	7	36,71
64355167	1610968102	8	21	20	327,22
48060898	1611672808	11	26	41	182,14
23269820	1610123066	18	25	9	268,58
89530470	1609711283	7	4	46	34,12
29051892	1610880426	12	6	24	41,96
79580055	1610168437	17	1	16	317,94
96331169	1610730233	16	2	12	41,76
47695175	1609520264	17	7	13	39,77
59371474	1611366909	2	21	24	327,22
18252764	1611772301	3	15	40	473,88
14344103	1610210530	7	25	13	268,58
70141142	1611775265	8	29	31	413,17
58830218	1609494231	3	15	8	473,88
48155514	1610632860	10	19	2	31,01
96513065	1610425017	8	3	27	36,71
80877859	1610957611	10	11	32	321,25
76166980	1610647028	15	15	7	473,88
43848436	1610946828	13	26	6	182,14
30590712	1609863849	19	21	46	327,22
62605162	1609564580	15	20	21	326,33
96250477	1610147810	5	15	41	473,88
44304375	1611988041	8	5	8	37,64
50047183	1611102837	9	2	29	41,76
61287666	1609794125	5	12	32	303,02
47317350	1610389060	2	22	45	324,86
35010684	1609661679	16	10	4	520,6
68128053	1609701899	2	4	47	34,12
87827216	1610277375	19	16	13	426,14
55246418	1611537528	11	15	37	473,88
64849507	1611870897	3	23	32	192,83
51785757	1610516500	18	7	45	39,77
59293814	1612012521	14	9	12	25,39
33812158	1611688845	3	28	11	385,96
64540517	1609496280	4	25	15	268,58
10831496	1611848799	16	22	23	324,86
99241142	1611645408	10	2	30	41,76
96252297	1610131198	4	20	25	326,33
42985808	1609537318	5	6	4	41,96
27215111	1610610771	7	4	19	34,12
39932710	1611050501	16	14	38	628,36
60381093	1611482277	16	14	12	628,36
94296914	1609799692	2	28	23	385,96
21284127	1610764673	19	19	18	31,01
65157906	1609989986	10	29	42	413,17
40163232	1611316871	1	2	20	41,76
29689198	1611851795	6	16	6	426,14
22186117	1611025613	12	21	17	327,22
87654728	1611555528	4	16	33	426,14
31688286	1609766162	11	17	15	329,47
28108886	1610689904	8	3	40	36,71
69544519	1611044169	11	7	25	39,77
12947069	1611928654	11	3	15	36,71
17220973	1611674757	12	26	29	182,14
45117108	1610482379	16	11	46	321,25
44759661	1611800573	19	7	25	39,77
96176569	1611239095	2	9	41	25,39
80500436	1610807906	19	20	13	326,33
98074969	1611006282	14	28	19	385,96
62661152	1609558786	13	9	35	25,39
24478090	1609868061	13	8	24	30,44
13902124	1610835798	12	3	43	36,71
69995231	1612008193	2	2	7	41,76
78430941	1610296139	4	19	45	31,01
20800962	1611059295	19	28	47	385,96
83103922	1610394081	2	2	42	41,76
83278636	1611715044	13	24	9	599,19
95491686	1610171269	6	9	9	25,39
35296542	1610298311	5	5	34	37,64
21250123	1611508319	6	2	40	41,76
14178139	1610523083	18	20	31	326,33
50254704	1610470795	17	17	23	329,47
25102559	1611544269	13	29	39	413,17
79758684	1610609041	8	19	1	31,01
31928000	1611348803	6	25	14	268,58
21059009	1610235521	6	9	34	25,39
31072248	1611438374	20	13	47	320,08
93446922	1610466238	8	24	10	599,19
10979544	1611400436	20	17	20	329,47
84325549	1610262124	20	20	36	326,33
69136554	1610804032	20	12	4	303,02
82283855	1609654594	17	5	27	37,64
63965007	1611866416	6	20	26	326,33
97338241	1609637457	8	6	47	41,96
44056045	1610761441	11	29	21	413,17
99081972	1611332409	16	27	27	268,29
87643114	1610998623	12	9	4	25,39
18641978	1612083519	8	23	45	192,83
52683246	1610491378	6	13	47	320,08
97451888	1611981448	17	10	31	520,6
47455048	1609491783	18	3	15	36,71
45658919	1610843502	7	13	44	320,08
64982511	1611949284	9	9	22	25,39
48325259	1609999857	2	5	4	37,64
64098128	1611858364	9	7	4	39,77
21637171	1612001099	4	27	33	268,29
25733227	1609962946	9	13	20	320,08
89176785	1611839419	7	18	3	394,4
29976586	1610530819	18	14	25	628,36
41578697	1611259907	20	27	1	268,29
79997487	1611222708	13	21	39	327,22
55579381	1609612754	12	21	21	327,22
46615056	1610591543	3	16	30	426,14
13371441	1612088914	16	8	10	30,44
35812191	1611356896	12	25	46	268,58
86288571	1609901553	14	28	47	385,96
36717828	1609755529	13	28	17	385,96
89253856	1610869339	4	10	4	520,6
86817082	1612095454	3	20	5	326,33
63094068	1611216379	8	11	1	321,25
29073090	1610152924	12	12	42	303,02
67808064	1609901128	1	23	35	192,83
30916795	1612043611	17	24	14	599,19
54404909	1612108558	7	2	35	41,76
18210311	1611732538	15	29	37	413,17
93053575	1611633902	19	10	6	520,6
77167449	1610106469	11	14	39	628,36
39578689	1609845045	17	5	4	37,64
99582131	1610707887	20	2	1	41,76
61041385	1610069650	19	19	7	31,01
73569709	1610310841	12	19	3	31,01
97524222	1610840332	11	15	34	473,88
39587420	1610366484	4	28	41	385,96
89422451	1609877344	6	25	33	268,58
97620726	1610624438	4	29	11	413,17
